Year: 1922, Tempo: 8, Count: 1
Year: 1936, Tempo: 12, Count: 1
Year: 1937, Tempo: 2, Count: 2
Year: 1937, Tempo: 4, Count: 1
Year: 1937, Tempo: 7, Count: 8
Year: 1937, Tempo: 8, Count: 7
Year: 1937, Tempo: 9, Count: 5
Year: 1937, Tempo: 11, Count: 4
Year: 1938, Tempo: 7, Count: 3
Year: 1938, Tempo: 8, Count: 5
Year: 1938, Tempo: 9, Count: 4
Year: 1938, Tempo: 11, Count: 4
Year: 1938, Tempo: 12, Count: 3
Year: 1939, Tempo: 4, Count: 1
Year: 1939, Tempo: 5, Count: 2
Year: 1939, Tempo: 6, Count: 1
Year: 1939, Tempo: 7, Count: 20
Year: 1939, Tempo: 8, Count: 3
Year: 1939, Tempo: 9, Count: 1
Year: 1939, Tempo: 10, Count: 2
Year: 1939, Tempo: 11, Count: 4
Year: 1940, Tempo: 6, Count: 2
Year: 1940, Tempo: 7, Count: 18
Year: 1940, Tempo: 8, Count: 19
Year: 1940, Tempo: 9, Count: 11
Year: 1940, Tempo: 10, Count: 1
Year: 1941, Tempo: 4, Count: 1
Year: 1941, Tempo: 6, Count: 2
Year: 1941, Tempo: 7, Count: 13
Year: 1941, Tempo: 8, Count: 5
Year: 1941, Tempo: 9, Count: 8
Year: 1941, Tempo: 11, Count: 2
Year: 1942, Tempo: 6, Count: 1
Year: 1942, Tempo: 7, Count: 6
Year: 1942, Tempo: 8, Count: 6
Year: 1942, Tempo: 9, Count: 6
Year: 1942, Tempo: 11, Count: 3
Year: 1942, Tempo: 12, Count: 1
Year: 1943, Tempo: 7, Count: 2
Year: 1943, Tempo: 8, Count: 2
Year: 1943, Tempo: 9, Count: 8
Year: 1943, Tempo: 10, Count: 2
Year: 1944, Tempo: 5, Count: 3
Year: 1944, Tempo: 6, Count: 1
Year: 1944, Tempo: 7, Count: 2
Year: 1944, Tempo: 8, Count: 2
Year: 1944, Tempo: 9, Count: 2
Year: 1944, Tempo: 11, Count: 3
Year: 1944, Tempo: 12, Count: 1
Year: 1945, Tempo: 4, Count: 1
Year: 1945, Tempo: 5, Count: 1
Year: 1945, Tempo: 6, Count: 3
Year: 1945, Tempo: 7, Count: 10
Year: 1945, Tempo: 8, Count: 6
Year: 1945, Tempo: 9, Count: 3
Year: 1945, Tempo: 10, Count: 2
Year: 1945, Tempo: 11, Count: 2
Year: 1945, Tempo: 12, Count: 1
Year: 1946, Tempo: 4, Count: 1
Year: 1946, Tempo: 6, Count: 2
Year: 1946, Tempo: 7, Count: 11
Year: 1946, Tempo: 8, Count: 8
Year: 1946, Tempo: 11, Count: 5
Year: 1946, Tempo: 12, Count: 2
Year: 1947, Tempo: 5, Count: 2
Year: 1947, Tempo: 6, Count: 8
Year: 1947, Tempo: 7, Count: 13
Year: 1947, Tempo: 8, Count: 6
Year: 1947, Tempo: 9, Count: 11
Year: 1947, Tempo: 10, Count: 3
Year: 1947, Tempo: 11, Count: 13
Year: 1948, Tempo: 1, Count: 1
Year: 1948, Tempo: 4, Count: 1
Year: 1948, Tempo: 6, Count: 3
Year: 1948, Tempo: 7, Count: 12
Year: 1948, Tempo: 8, Count: 4
Year: 1948, Tempo: 9, Count: 4
Year: 1948, Tempo: 11, Count: 16
Year: 1949, Tempo: 1, Count: 1
Year: 1949, Tempo: 3, Count: 1
Year: 1949, Tempo: 4, Count: 8
Year: 1949, Tempo: 5, Count: 2
Year: 1949, Tempo: 6, Count: 2
Year: 1949, Tempo: 7, Count: 7
Year: 1949, Tempo: 8, Count: 5
Year: 1949, Tempo: 9, Count: 13
Year: 1949, Tempo: 10, Count: 5
Year: 1949, Tempo: 11, Count: 11
Year: 1949, Tempo: 12, Count: 1
Year: 1950, Tempo: 3, Count: 1
Year: 1950, Tempo: 4, Count: 1
Year: 1950, Tempo: 5, Count: 1
Year: 1950, Tempo: 6, Count: 9
Year: 1950, Tempo: 7, Count: 29
Year: 1950, Tempo: 8, Count: 10
Year: 1950, Tempo: 9, Count: 10
Year: 1950, Tempo: 10, Count: 4
Year: 1950, Tempo: 11, Count: 15
Year: 1950, Tempo: 12, Count: 3
Year: 1951, Tempo: 4, Count: 6
Year: 1951, Tempo: 5, Count: 1
Year: 1951, Tempo: 6, Count: 4
Year: 1951, Tempo: 7, Count: 13
Year: 1951, Tempo: 8, Count: 11
Year: 1951, Tempo: 9, Count: 13
Year: 1951, Tempo: 10, Count: 6
Year: 1951, Tempo: 11, Count: 18
Year: 1952, Tempo: 4, Count: 2
Year: 1952, Tempo: 6, Count: 6
Year: 1952, Tempo: 7, Count: 16
Year: 1952, Tempo: 8, Count: 6
Year: 1952, Tempo: 9, Count: 29
Year: 1952, Tempo: 10, Count: 5
Year: 1952, Tempo: 11, Count: 9
Year: 1952, Tempo: 12, Count: 1
Year: 1953, Tempo: 2, Count: 4
Year: 1953, Tempo: 4, Count: 2
Year: 1953, Tempo: 6, Count: 4
Year: 1953, Tempo: 7, Count: 24
Year: 1953, Tempo: 8, Count: 17
Year: 1953, Tempo: 9, Count: 43
Year: 1953, Tempo: 10, Count: 9
Year: 1953, Tempo: 11, Count: 23
Year: 1953, Tempo: 12, Count: 3
Year: 1954, Tempo: 4, Count: 6
Year: 1954, Tempo: 5, Count: 4
Year: 1954, Tempo: 6, Count: 2
Year: 1954, Tempo: 7, Count: 30
Year: 1954, Tempo: 8, Count: 17
Year: 1954, Tempo: 9, Count: 28
Year: 1954, Tempo: 10, Count: 4
Year: 1954, Tempo: 11, Count: 20
Year: 1954, Tempo: 12, Count: 9
Year: 1955, Tempo: 1, Count: 7
Year: 1955, Tempo: 2, Count: 6
Year: 1955, Tempo: 4, Count: 16
Year: 1955, Tempo: 5, Count: 9
Year: 1955, Tempo: 6, Count: 14
Year: 1955, Tempo: 7, Count: 45
Year: 1955, Tempo: 8, Count: 24
Year: 1955, Tempo: 9, Count: 71
Year: 1955, Tempo: 10, Count: 17
Year: 1955, Tempo: 11, Count: 43
Year: 1955, Tempo: 12, Count: 14
Year: 1956, Tempo: 1, Count: 3
Year: 1956, Tempo: 2, Count: 6
Year: 1956, Tempo: 3, Count: 4
Year: 1956, Tempo: 4, Count: 19
Year: 1956, Tempo: 5, Count: 12
Year: 1956, Tempo: 6, Count: 44
Year: 1956, Tempo: 7, Count: 119
Year: 1956, Tempo: 8, Count: 70
Year: 1956, Tempo: 9, Count: 126
Year: 1956, Tempo: 10, Count: 22
Year: 1956, Tempo: 11, Count: 79
Year: 1956, Tempo: 12, Count: 38
Year: 1957, Tempo: 1, Count: 3
Year: 1957, Tempo: 2, Count: 4
Year: 1957, Tempo: 3, Count: 6
Year: 1957, Tempo: 4, Count: 22
Year: 1957, Tempo: 5, Count: 10
Year: 1957, Tempo: 6, Count: 41
Year: 1957, Tempo: 7, Count: 111
Year: 1957, Tempo: 8, Count: 76
Year: 1957, Tempo: 9, Count: 123
Year: 1957, Tempo: 10, Count: 25
Year: 1957, Tempo: 11, Count: 88
Year: 1957, Tempo: 12, Count: 45
Year: 1958, Tempo: 1, Count: 1
Year: 1958, Tempo: 2, Count: 4
Year: 1958, Tempo: 3, Count: 3
Year: 1958, Tempo: 4, Count: 24
Year: 1958, Tempo: 5, Count: 13
Year: 1958, Tempo: 6, Count: 24
Year: 1958, Tempo: 7, Count: 102
Year: 1958, Tempo: 8, Count: 103
Year: 1958, Tempo: 9, Count: 110
Year: 1958, Tempo: 10, Count: 23
Year: 1958, Tempo: 11, Count: 101
Year: 1958, Tempo: 12, Count: 35
Year: 1959, Tempo: 1, Count: 1
Year: 1959, Tempo: 2, Count: 4
Year: 1959, Tempo: 3, Count: 2
Year: 1959, Tempo: 4, Count: 11
Year: 1959, Tempo: 5, Count: 7
Year: 1959, Tempo: 6, Count: 15
Year: 1959, Tempo: 7, Count: 104
Year: 1959, Tempo: 8, Count: 68
Year: 1959, Tempo: 9, Count: 164
Year: 1959, Tempo: 10, Count: 29
Year: 1959, Tempo: 11, Count: 123
Year: 1959, Tempo: 12, Count: 37
Year: 1960, Tempo: 1, Count: 3
Year: 1960, Tempo: 2, Count: 5
Year: 1960, Tempo: 3, Count: 3
Year: 1960, Tempo: 4, Count: 10
Year: 1960, Tempo: 5, Count: 8
Year: 1960, Tempo: 6, Count: 22
Year: 1960, Tempo: 7, Count: 68
Year: 1960, Tempo: 8, Count: 75
Year: 1960, Tempo: 9, Count: 93
Year: 1960, Tempo: 10, Count: 19
Year: 1960, Tempo: 11, Count: 72
Year: 1960, Tempo: 12, Count: 16
Year: 1961, Tempo: 1, Count: 1
Year: 1961, Tempo: 3, Count: 2
Year: 1961, Tempo: 4, Count: 15
Year: 1961, Tempo: 5, Count: 5
Year: 1961, Tempo: 6, Count: 20
Year: 1961, Tempo: 7, Count: 101
Year: 1961, Tempo: 8, Count: 91
Year: 1961, Tempo: 9, Count: 130
Year: 1961, Tempo: 10, Count: 26
Year: 1961, Tempo: 11, Count: 88
Year: 1961, Tempo: 12, Count: 30
Year: 1962, Tempo: 1, Count: 4
Year: 1962, Tempo: 2, Count: 6
Year: 1962, Tempo: 3, Count: 2
Year: 1962, Tempo: 4, Count: 9
Year: 1962, Tempo: 5, Count: 12
Year: 1962, Tempo: 6, Count: 20
Year: 1962, Tempo: 7, Count: 109
Year: 1962, Tempo: 8, Count: 73
Year: 1962, Tempo: 9, Count: 161
Year: 1962, Tempo: 10, Count: 29
Year: 1962, Tempo: 11, Count: 101
Year: 1962, Tempo: 12, Count: 42
Year: 1963, Tempo: 1, Count: 1
Year: 1963, Tempo: 2, Count: 3
Year: 1963, Tempo: 3, Count: 5
Year: 1963, Tempo: 4, Count: 28
Year: 1963, Tempo: 5, Count: 20
Year: 1963, Tempo: 6, Count: 37
Year: 1963, Tempo: 7, Count: 122
Year: 1963, Tempo: 8, Count: 118
Year: 1963, Tempo: 9, Count: 245
Year: 1963, Tempo: 10, Count: 57
Year: 1963, Tempo: 11, Count: 159
Year: 1963, Tempo: 12, Count: 46
Year: 1964, Tempo: 1, Count: 3
Year: 1964, Tempo: 2, Count: 8
Year: 1964, Tempo: 3, Count: 7
Year: 1964, Tempo: 4, Count: 16
Year: 1964, Tempo: 5, Count: 12
Year: 1964, Tempo: 6, Count: 33
Year: 1964, Tempo: 7, Count: 176
Year: 1964, Tempo: 8, Count: 126
Year: 1964, Tempo: 9, Count: 223
Year: 1964, Tempo: 10, Count: 57
Year: 1964, Tempo: 11, Count: 179
Year: 1964, Tempo: 12, Count: 43
Year: 1965, Tempo: 1, Count: 3
Year: 1965, Tempo: 2, Count: 9
Year: 1965, Tempo: 3, Count: 8
Year: 1965, Tempo: 4, Count: 20
Year: 1965, Tempo: 5, Count: 13
Year: 1965, Tempo: 6, Count: 41
Year: 1965, Tempo: 7, Count: 197
Year: 1965, Tempo: 8, Count: 168
Year: 1965, Tempo: 9, Count: 288
Year: 1965, Tempo: 10, Count: 78
Year: 1965, Tempo: 11, Count: 163
Year: 1965, Tempo: 12, Count: 58
Year: 1966, Tempo: 2, Count: 3
Year: 1966, Tempo: 3, Count: 5
Year: 1966, Tempo: 4, Count: 14
Year: 1966, Tempo: 5, Count: 5
Year: 1966, Tempo: 6, Count: 36
Year: 1966, Tempo: 7, Count: 247
Year: 1966, Tempo: 8, Count: 195
Year: 1966, Tempo: 9, Count: 411
Year: 1966, Tempo: 10, Count: 98
Year: 1966, Tempo: 11, Count: 204
Year: 1966, Tempo: 12, Count: 70
Year: 1967, Tempo: 3, Count: 1
Year: 1967, Tempo: 4, Count: 20
Year: 1967, Tempo: 5, Count: 10
Year: 1967, Tempo: 6, Count: 53
Year: 1967, Tempo: 7, Count: 329
Year: 1967, Tempo: 8, Count: 261
Year: 1967, Tempo: 9, Count: 482
Year: 1967, Tempo: 10, Count: 115
Year: 1967, Tempo: 11, Count: 276
Year: 1967, Tempo: 12, Count: 77
Year: 1968, Tempo: 1, Count: 2
Year: 1968, Tempo: 2, Count: 2
Year: 1968, Tempo: 3, Count: 3
Year: 1968, Tempo: 4, Count: 27
Year: 1968, Tempo: 5, Count: 16
Year: 1968, Tempo: 6, Count: 46
Year: 1968, Tempo: 7, Count: 333
Year: 1968, Tempo: 8, Count: 277
Year: 1968, Tempo: 9, Count: 537
Year: 1968, Tempo: 10, Count: 116
Year: 1968, Tempo: 11, Count: 284
Year: 1968, Tempo: 12, Count: 84
Year: 1969, Tempo: 1, Count: 2
Year: 1969, Tempo: 2, Count: 10
Year: 1969, Tempo: 3, Count: 9
Year: 1969, Tempo: 4, Count: 32
Year: 1969, Tempo: 5, Count: 18
Year: 1969, Tempo: 6, Count: 66
Year: 1969, Tempo: 7, Count: 406
Year: 1969, Tempo: 8, Count: 307
Year: 1969, Tempo: 9, Count: 562
Year: 1969, Tempo: 10, Count: 98
Year: 1969, Tempo: 11, Count: 389
Year: 1969, Tempo: 12, Count: 121
Year: 1970, Tempo: 1, Count: 3
Year: 1970, Tempo: 2, Count: 8
Year: 1970, Tempo: 3, Count: 2
Year: 1970, Tempo: 4, Count: 37
Year: 1970, Tempo: 5, Count: 18
Year: 1970, Tempo: 6, Count: 63
Year: 1970, Tempo: 7, Count: 435
Year: 1970, Tempo: 8, Count: 275
Year: 1970, Tempo: 9, Count: 572
Year: 1970, Tempo: 10, Count: 145
Year: 1970, Tempo: 11, Count: 440
Year: 1970, Tempo: 12, Count: 155
Year: 1971, Tempo: 1, Count: 2
Year: 1971, Tempo: 2, Count: 5
Year: 1971, Tempo: 3, Count: 5
Year: 1971, Tempo: 4, Count: 16
Year: 1971, Tempo: 5, Count: 17
Year: 1971, Tempo: 6, Count: 63
Year: 1971, Tempo: 7, Count: 325
Year: 1971, Tempo: 8, Count: 232
Year: 1971, Tempo: 9, Count: 527
Year: 1971, Tempo: 10, Count: 163
Year: 1971, Tempo: 11, Count: 466
Year: 1971, Tempo: 12, Count: 148
Year: 1972, Tempo: 2, Count: 2
Year: 1972, Tempo: 3, Count: 3
Year: 1972, Tempo: 4, Count: 20
Year: 1972, Tempo: 5, Count: 18
Year: 1972, Tempo: 6, Count: 52
Year: 1972, Tempo: 7, Count: 389
Year: 1972, Tempo: 8, Count: 250
Year: 1972, Tempo: 9, Count: 573
Year: 1972, Tempo: 10, Count: 164
Year: 1972, Tempo: 11, Count: 498
Year: 1972, Tempo: 12, Count: 156
Year: 1973, Tempo: 1, Count: 1
Year: 1973, Tempo: 2, Count: 6
Year: 1973, Tempo: 3, Count: 5
Year: 1973, Tempo: 4, Count: 27
Year: 1973, Tempo: 5, Count: 19
Year: 1973, Tempo: 6, Count: 72
Year: 1973, Tempo: 7, Count: 402
Year: 1973, Tempo: 8, Count: 287
Year: 1973, Tempo: 9, Count: 686
Year: 1973, Tempo: 10, Count: 193
Year: 1973, Tempo: 11, Count: 530
Year: 1973, Tempo: 12, Count: 185
Year: 1974, Tempo: 1, Count: 1
Year: 1974, Tempo: 2, Count: 6
Year: 1974, Tempo: 3, Count: 2
Year: 1974, Tempo: 4, Count: 23
Year: 1974, Tempo: 5, Count: 14
Year: 1974, Tempo: 6, Count: 51
Year: 1974, Tempo: 7, Count: 347
Year: 1974, Tempo: 8, Count: 251
Year: 1974, Tempo: 9, Count: 536
Year: 1974, Tempo: 10, Count: 200
Year: 1974, Tempo: 11, Count: 470
Year: 1974, Tempo: 12, Count: 141
Year: 1975, Tempo: 1, Count: 1
Year: 1975, Tempo: 2, Count: 3
Year: 1975, Tempo: 3, Count: 1
Year: 1975, Tempo: 4, Count: 30
Year: 1975, Tempo: 5, Count: 24
Year: 1975, Tempo: 6, Count: 60
Year: 1975, Tempo: 7, Count: 362
Year: 1975, Tempo: 8, Count: 272
Year: 1975, Tempo: 9, Count: 714
Year: 1975, Tempo: 10, Count: 179
Year: 1975, Tempo: 11, Count: 467
Year: 1975, Tempo: 12, Count: 172
Year: 1976, Tempo: 1, Count: 1
Year: 1976, Tempo: 2, Count: 2
Year: 1976, Tempo: 3, Count: 2
Year: 1976, Tempo: 4, Count: 14
Year: 1976, Tempo: 5, Count: 9
Year: 1976, Tempo: 6, Count: 41
Year: 1976, Tempo: 7, Count: 326
Year: 1976, Tempo: 8, Count: 233
Year: 1976, Tempo: 9, Count: 610
Year: 1976, Tempo: 10, Count: 181
Year: 1976, Tempo: 11, Count: 443
Year: 1976, Tempo: 12, Count: 162
Year: 1977, Tempo: 1, Count: 3
Year: 1977, Tempo: 2, Count: 3
Year: 1977, Tempo: 3, Count: 2
Year: 1977, Tempo: 4, Count: 19
Year: 1977, Tempo: 5, Count: 8
Year: 1977, Tempo: 6, Count: 36
Year: 1977, Tempo: 7, Count: 313
Year: 1977, Tempo: 8, Count: 288
Year: 1977, Tempo: 9, Count: 648
Year: 1977, Tempo: 10, Count: 209
Year: 1977, Tempo: 11, Count: 563
Year: 1977, Tempo: 12, Count: 222
Year: 1978, Tempo: 1, Count: 2
Year: 1978, Tempo: 2, Count: 8
Year: 1978, Tempo: 3, Count: 4
Year: 1978, Tempo: 4, Count: 37
Year: 1978, Tempo: 5, Count: 13
Year: 1978, Tempo: 6, Count: 53
Year: 1978, Tempo: 7, Count: 365
Year: 1978, Tempo: 8, Count: 299
Year: 1978, Tempo: 9, Count: 858
Year: 1978, Tempo: 10, Count: 212
Year: 1978, Tempo: 11, Count: 649
Year: 1978, Tempo: 12, Count: 224
Year: 1979, Tempo: 1, Count: 3
Year: 1979, Tempo: 2, Count: 8
Year: 1979, Tempo: 3, Count: 4
Year: 1979, Tempo: 4, Count: 22
Year: 1979, Tempo: 5, Count: 12
Year: 1979, Tempo: 6, Count: 49
Year: 1979, Tempo: 7, Count: 372
Year: 1979, Tempo: 8, Count: 283
Year: 1979, Tempo: 9, Count: 951
Year: 1979, Tempo: 10, Count: 260
Year: 1979, Tempo: 11, Count: 694
Year: 1979, Tempo: 12, Count: 254
Year: 1980, Tempo: 1, Count: 3
Year: 1980, Tempo: 2, Count: 3
Year: 1980, Tempo: 3, Count: 4
Year: 1980, Tempo: 4, Count: 28
Year: 1980, Tempo: 5, Count: 10
Year: 1980, Tempo: 6, Count: 39
Year: 1980, Tempo: 7, Count: 357
Year: 1980, Tempo: 8, Count: 317
Year: 1980, Tempo: 9, Count: 867
Year: 1980, Tempo: 10, Count: 269
Year: 1980, Tempo: 11, Count: 755
Year: 1980, Tempo: 12, Count: 223
Year: 1981, Tempo: 1, Count: 4
Year: 1981, Tempo: 2, Count: 2
Year: 1981, Tempo: 3, Count: 2
Year: 1981, Tempo: 4, Count: 15
Year: 1981, Tempo: 5, Count: 9
Year: 1981, Tempo: 6, Count: 51
Year: 1981, Tempo: 7, Count: 341
Year: 1981, Tempo: 8, Count: 272
Year: 1981, Tempo: 9, Count: 917
Year: 1981, Tempo: 10, Count: 285
Year: 1981, Tempo: 11, Count: 788
Year: 1981, Tempo: 12, Count: 239
Year: 1982, Tempo: 1, Count: 3
Year: 1982, Tempo: 2, Count: 4
Year: 1982, Tempo: 3, Count: 5
Year: 1982, Tempo: 4, Count: 20
Year: 1982, Tempo: 5, Count: 13
Year: 1982, Tempo: 6, Count: 38
Year: 1982, Tempo: 7, Count: 407
Year: 1982, Tempo: 8, Count: 356
Year: 1982, Tempo: 9, Count: 1037
Year: 1982, Tempo: 10, Count: 309
Year: 1982, Tempo: 11, Count: 880
Year: 1982, Tempo: 12, Count: 258
Year: 1983, Tempo: 1, Count: 4
Year: 1983, Tempo: 2, Count: 7
Year: 1983, Tempo: 3, Count: 3
Year: 1983, Tempo: 4, Count: 29
Year: 1983, Tempo: 5, Count: 17
Year: 1983, Tempo: 6, Count: 54
Year: 1983, Tempo: 7, Count: 398
Year: 1983, Tempo: 8, Count: 348
Year: 1983, Tempo: 9, Count: 985
Year: 1983, Tempo: 10, Count: 287
Year: 1983, Tempo: 11, Count: 736
Year: 1983, Tempo: 12, Count: 260
Year: 1984, Tempo: 1, Count: 2
Year: 1984, Tempo: 2, Count: 6
Year: 1984, Tempo: 3, Count: 4
Year: 1984, Tempo: 4, Count: 32
Year: 1984, Tempo: 5, Count: 17
Year: 1984, Tempo: 6, Count: 47
Year: 1984, Tempo: 7, Count: 390
Year: 1984, Tempo: 8, Count: 353
Year: 1984, Tempo: 9, Count: 1025
Year: 1984, Tempo: 10, Count: 313
Year: 1984, Tempo: 11, Count: 728
Year: 1984, Tempo: 12, Count: 242
Year: 1985, Tempo: 1, Count: 3
Year: 1985, Tempo: 2, Count: 10
Year: 1985, Tempo: 3, Count: 7
Year: 1985, Tempo: 4, Count: 35
Year: 1985, Tempo: 5, Count: 13
Year: 1985, Tempo: 6, Count: 57
Year: 1985, Tempo: 7, Count: 461
Year: 1985, Tempo: 8, Count: 389
Year: 1985, Tempo: 9, Count: 1100
Year: 1985, Tempo: 10, Count: 273
Year: 1985, Tempo: 11, Count: 731
Year: 1985, Tempo: 12, Count: 230
Year: 1986, Tempo: 1, Count: 7
Year: 1986, Tempo: 2, Count: 9
Year: 1986, Tempo: 3, Count: 4
Year: 1986, Tempo: 4, Count: 32
Year: 1986, Tempo: 5, Count: 20
Year: 1986, Tempo: 6, Count: 75
Year: 1986, Tempo: 7, Count: 611
Year: 1986, Tempo: 8, Count: 471
Year: 1986, Tempo: 9, Count: 1288
Year: 1986, Tempo: 10, Count: 322
Year: 1986, Tempo: 11, Count: 794
Year: 1986, Tempo: 12, Count: 313
Year: 1987, Tempo: 1, Count: 6
Year: 1987, Tempo: 2, Count: 10
Year: 1987, Tempo: 3, Count: 15
Year: 1987, Tempo: 4, Count: 51
Year: 1987, Tempo: 5, Count: 26
Year: 1987, Tempo: 6, Count: 93
Year: 1987, Tempo: 7, Count: 756
Year: 1987, Tempo: 8, Count: 587
Year: 1987, Tempo: 9, Count: 1400
Year: 1987, Tempo: 10, Count: 354
Year: 1987, Tempo: 11, Count: 1015
Year: 1987, Tempo: 12, Count: 410
Year: 1988, Tempo: 1, Count: 9
Year: 1988, Tempo: 2, Count: 14
Year: 1988, Tempo: 3, Count: 9
Year: 1988, Tempo: 4, Count: 54
Year: 1988, Tempo: 5, Count: 49
Year: 1988, Tempo: 6, Count: 119
Year: 1988, Tempo: 7, Count: 828
Year: 1988, Tempo: 8, Count: 706
Year: 1988, Tempo: 9, Count: 1624
Year: 1988, Tempo: 10, Count: 370
Year: 1988, Tempo: 11, Count: 944
Year: 1988, Tempo: 12, Count: 419
Year: 1989, Tempo: 1, Count: 14
Year: 1989, Tempo: 2, Count: 11
Year: 1989, Tempo: 3, Count: 14
Year: 1989, Tempo: 4, Count: 72
Year: 1989, Tempo: 5, Count: 46
Year: 1989, Tempo: 6, Count: 145
Year: 1989, Tempo: 7, Count: 1007
Year: 1989, Tempo: 8, Count: 864
Year: 1989, Tempo: 9, Count: 1910
Year: 1989, Tempo: 10, Count: 449
Year: 1989, Tempo: 11, Count: 1160
Year: 1989, Tempo: 12, Count: 471
Year: 1990, Tempo: 1, Count: 18
Year: 1990, Tempo: 2, Count: 22
Year: 1990, Tempo: 3, Count: 14
Year: 1990, Tempo: 4, Count: 87
Year: 1990, Tempo: 5, Count: 55
Year: 1990, Tempo: 6, Count: 178
Year: 1990, Tempo: 7, Count: 1100
Year: 1990, Tempo: 8, Count: 941
Year: 1990, Tempo: 9, Count: 1931
Year: 1990, Tempo: 10, Count: 412
Year: 1990, Tempo: 11, Count: 1353
Year: 1990, Tempo: 12, Count: 545
Year: 1991, Tempo: 1, Count: 16
Year: 1991, Tempo: 2, Count: 22
Year: 1991, Tempo: 3, Count: 16
Year: 1991, Tempo: 4, Count: 96
Year: 1991, Tempo: 5, Count: 91
Year: 1991, Tempo: 6, Count: 163
Year: 1991, Tempo: 7, Count: 1325
Year: 1991, Tempo: 8, Count: 1095
Year: 1991, Tempo: 9, Count: 2306
Year: 1991, Tempo: 10, Count: 515
Year: 1991, Tempo: 11, Count: 1628
Year: 1991, Tempo: 12, Count: 591
Year: 1992, Tempo: 1, Count: 21
Year: 1992, Tempo: 2, Count: 20
Year: 1992, Tempo: 3, Count: 16
Year: 1992, Tempo: 4, Count: 123
Year: 1992, Tempo: 5, Count: 78
Year: 1992, Tempo: 6, Count: 204
Year: 1992, Tempo: 7, Count: 1499
Year: 1992, Tempo: 8, Count: 1198
Year: 1992, Tempo: 9, Count: 2383
Year: 1992, Tempo: 10, Count: 578
Year: 1992, Tempo: 11, Count: 1831
Year: 1992, Tempo: 12, Count: 642
Year: 1993, Tempo: 1, Count: 26
Year: 1993, Tempo: 2, Count: 28
Year: 1993, Tempo: 3, Count: 31
Year: 1993, Tempo: 4, Count: 144
Year: 1993, Tempo: 5, Count: 66
